Concurrent_Requests,Latency_ms
118,27.09
145,46.26
38,23.09
335,55.83
210,44.04
624,553.9
43,21.7
39,31.63
117,31.16
426,67.96
360,54.39
159,39.6
202,39.59
116,40.5
69,36.35
817,1797.38
179,35.35
781,1509.99
308,45.12
146,41.56
771,1439.92
353,48.5
10,16.53
97,33.05
14,26.38
87,30.01
796,1641.13
203,49.07
171,32.12
149,35.04
129,38.87
406,66.21
427,59.72
17,25.77
136,44.05
458,95.07
23,28.86
701,966.52
157,39.49
93,33.59
650,685.77
1500,12164.62
620,546.28
62,24.44
15,20.6
104,29.62
601,471.28
624,568.22
12,32.15
411,58.76
504,163.9
30,24.96
545,271.65
233,45.95
88,28.39
114,31.66
192,39.84
632,599.61
26,25.21
266,46.87
221,46.54
42,30.38
215,36.16
226,44.27
712,1028.24
359,58.28
23,19.8
405,55.53
408,61.01
10,24.79
195,35.93
65,25.18
521,199.84
580,380.65
541,252.72
543,272.04
460,100.74
108,37.65
229,42.12
434,68.36
511,187.88
26,19.79
131,46.96
58,35.25
136,42.83
696,926.47
284,50.11
155,35.68
401,61.01
484,131.45
283,40.7
40,29.12
664,754.01
319,52.38
76,29.87
32,23.01
259,32.21
244,35.31
10,19.49
543,263.11
447,82.88
24,28.72
407,72.03
211,41.1
851,2096.43
603,471.83
95,30.77
24,29.59
35,24.03
34,28.76
409,50.73
583,388.78
237,41.31
65,34.68
1258,7423.14
124,39.65
657,720.28
43,31.46
523,216.07
692,907.61
457,89.08
237,51.19
108,29.95
77,34.94
344,56.86
442,83.83
20,14.34
113,36.63
72,31.99
693,916.58
14,22.05
237,32.93
82,35.94
799,1656.88
127,37.03
77,31.48
80,30.95
230,35.54
56,35.0
197,43.79
381,59.11
113,31.03
266,50.27
124,36.51
386,69.35
643,649.05
374,62.19
423,59.22
10,21.09
89,30.11
10,27.57
402,57.49
645,672.52
10,18.34
239,47.85
32,31.01
36,31.2
711,1038.03
1500,12160.33
346,47.71
33,18.9
203,756.75
144,40.24
68,31.18
119,42.73
154,40.48
143,32.89
634,606.37
145,32.59
342,54.97
538,256.69
690,895.89
142,37.3
140,34.81
21,26.99
231,37.63
228,42.06
593,440.46
318,53.47
408,68.76
131,40.9
729,1149.61
237,39.7
157,48.02
255,45.94
579,381.05
107,26.67
197,44.0
57,37.31
337,55.34
214,40.33
260,50.83
363,41.73
697,943.59
79,35.77
77,28.54
41,30.0
197,35.66
278,48.55
67,30.14
662,757.51
1011,3788.89
305,55.88
151,34.71
571,348.09
505,158.26
85,29.96
18,23.76
482,121.51
57,27.2
60,32.48
74,35.04
138,29.84
55,24.12
265,46.81
44,23.97
113,29.85
295,40.12
554,286.99
695,923.25
151,27.86
78,28.14
397,1448.65
174,38.3
258,46.24
10,20.41
1234,7010.68
231,42.93
1129,5377.58
721,1089.6
1368,9429.06
132,39.39
10,25.45
655,704.95
594,434.98
32,34.8
155,40.37
298,49.21
50,34.36
485,140.97
72,35.43
482,127.27
61,29.61
93,33.52
389,65.95
1229,6929.41
328,59.69
524,212.59
54,26.67
20,19.27
782,1522.87
43,28.23
501,162.36
645,660.6
10,31.16
70,24.67
771,1446.35
189,48.31
257,47.06
426,67.83
293,41.13
201,41.07
27,27.28
934,2909.19
49,41.0
180,33.57
138,29.58
174,36.6
244,43.28
78,35.18
403,64.0
32,33.72
101,28.56
1029,4009.29
118,38.94
270,47.72
293,48.59
351,51.5
166,38.86
227,52.52
1129,5372.01
142,32.22
140,34.35
82,32.18
606,488.65
89,42.15
183,36.51
353,50.69
126,37.19
575,361.97
126,25.69
250,45.54
173,46.56
98,44.82
221,51.35
166,22.33
117,40.0
201,35.23
485,124.46
135,25.37
424,70.19
48,31.31
17,26.5
463,101.98
1124,5301.01
110,32.82
45,38.56
307,52.06
286,49.99
381,61.03
75,32.35
178,38.72
17,27.92
640,635.27
594,437.62
278,50.73
382,62.57
547,276.17
11,20.95
23,26.95
312,56.07
219,40.63
18,28.52
205,41.42
153,29.24
185,38.34
995,3612.77
89,29.29
253,50.05
16,23.69
538,245.07
74,34.14
182,37.94
373,58.07
25,28.65
358,53.08
29,25.81
49,28.86
145,33.24
382,54.93
794,1623.54
158,38.69
208,44.38
29,29.98
443,79.4
386,54.09
342,57.95
318,60.0
14,28.16
23,27.19
214,37.85
302,46.86
65,26.95
56,29.08
1447,11022.37
159,40.44
239,52.1
373,49.1
187,33.91
85,31.29
52,27.9
14,35.01
58,30.95
268,53.45
174,38.47
277,54.93
625,573.77
506,169.95
73,28.92
270,45.93
164,36.4
422,63.43
283,49.01
56,23.83
113,33.32
392,1321.12
10,36.58
57,30.16
189,47.2
294,50.2
817,1795.23
695,927.5
231,43.1
381,55.28
307,47.7
307,62.71
307,46.01
1212,6657.86
706,991.11
209,46.96
201,37.73
91,34.59
266,47.95
163,40.85
91,29.5
211,40.32
271,47.92
100,17.76
185,28.68
1069,4536.91
128,37.52
68,23.62
310,46.19
307,56.56
113,37.67
92,34.27
10,30.97
10,22.65
482,138.43
160,43.42
110,40.55
651,692.02
125,42.54
496,151.38
244,46.48
407,63.89
18,28.51
274,50.17
127,41.51
499,155.72
59,39.56
286,46.36
498,163.89
46,27.52
15,28.24
11,31.98
173,701.54
449,86.82
676,818.42
350,56.06
409,67.78
251,44.16
392,56.91
720,1085.17
55,29.06
71,32.3
14,19.24
240,44.09
150,41.01
123,30.6
284,50.98
183,37.93
184,45.92
10,29.67
43,31.77
272,45.66
159,34.08
21,19.27
345,53.08
212,39.53
38,25.3
100,24.89
391,52.69
251,39.85
223,38.93
127,40.94
343,53.31
74,31.12
424,59.54
90,37.12
285,52.48
93,33.2
178,35.74
518,196.14
303,50.98
173,35.09
23,30.97
258,38.78
275,43.14
657,707.94
594,441.79
77,30.8
877,2334.16
10,32.03
238,38.96
16,23.97
572,352.03
244,55.79
396,52.53
127,31.92
450,88.72
285,43.09
44,18.54
163,46.23
531,229.64
102,36.76
814,1775.41
981,3437.47
160,41.07
761,1359.64
270,42.33
98,39.35
10,22.88
261,49.24
376,59.83
167,37.35
128,32.46
107,31.32
148,41.05
100,35.92
423,64.68
395,59.73
381,58.86
11,28.03
544,267.98
153,35.47
747,1262.01
527,206.62
16,20.92
625,565.81
702,972.36
137,36.51
237,43.17
131,32.7
43,30.46
221,46.12
109,39.48
263,52.63
102,30.77
335,46.81
169,35.19
10,28.97
886,2425.99
34,18.91
170,49.01
39,29.2
886,2422.48
944,3021.61
69,32.19
99,29.28
71,31.98
88,27.85
533,230.5
230,37.72
227,45.98
340,44.33
243,39.95
219,43.13
118,37.26
25,22.0
620,546.84
10,24.05
472,117.63
10,25.87
563,329.96
100,33.42
175,39.02
640,634.7
44,26.5
14,28.66
435,74.93
38,28.81
644,660.52
30,25.8
250,35.73
20,22.72
552,286.06
134,27.2
10,29.48
381,64.74
563,329.48
10,33.91
88,32.61
46,27.73
96,44.68
412,58.21
53,30.6
623,554.19
10,31.5
512,180.92
10,24.22
220,30.97
499,155.78
83,30.15
321,56.55
262,51.09
430,60.97
84,28.89
296,41.86
796,1639.85
191,46.44
35,27.17
129,34.3
420,62.49
112,31.54
15,21.09
711,1023.31
407,61.84
33,18.75
1197,6412.6
608,498.66
10,34.02
151,30.93
156,39.57
327,56.28
849,2082.61
272,41.16
375,56.44
97,36.07
286,48.06
218,41.42
141,38.8
178,43.64
76,30.33
20,16.9
199,39.83
168,33.88
413,65.72
973,3338.81
143,34.72
120,34.38
715,1060.23
443,82.51
192,41.32
325,52.18
65,33.81
11,13.78
626,569.55
217,35.61
11,24.66
222,42.68
59,36.03
432,66.22
215,51.55
444,81.46
251,44.33
11,31.99
82,28.89
920,2759.31
53,28.74
445,87.59
11,21.66
92,27.86
10,33.4
607,484.98
38,32.47
210,46.24
27,25.98
187,36.85
942,2994.25
236,41.26
38,30.26
684,867.48
15,33.75
712,1037.58
167,33.4
156,33.1
438,75.57
192,37.94
510,187.27
68,29.38
25,28.3
251,47.3
157,45.45
230,43.92
457,96.64
232,41.65
291,48.16
12,29.43
591,423.97
73,34.23
88,35.92
279,57.39
137,33.49
33,27.35
10,787.69
212,49.05
337,56.27
238,41.14
708,1010.49
1500,12162.72
137,40.31
114,27.85
364,56.1
11,21.91
458,85.65
121,25.96
418,57.61
412,62.01
164,40.08
39,41.17
60,33.17
232,45.87
198,40.04
143,32.17
40,27.48
258,45.14
188,41.0
19,26.83
72,31.15
522,202.06
41,29.53
99,27.97
514,183.26
118,35.47
372,61.27
10,29.74
35,33.26
264,42.3
24,16.25
231,45.5
415,69.32
260,40.63
36,17.84
241,54.14
636,616.61
606,491.49
556,306.8
284,44.68
318,48.86
307,49.58
211,42.63
80,34.99
93,26.32
209,38.75
965,3244.53
93,39.03
755,1326.4
408,57.71
243,54.51
266,48.62
400,61.35
182,41.99
273,47.97
507,176.43
217,49.25
10,28.04
23,31.78
18,21.76
618,523.09
108,35.37
171,39.38
40,29.76
241,44.48
863,2200.9
31,29.82
45,22.46
33,32.69
10,27.19
670,788.1
112,36.0
573,360.42
324,47.11
330,49.7
1230,6956.29
401,55.36
10,25.29
10,30.08
29,33.16
164,38.46
1500,12157.87
220,47.89
221,38.65
484,127.82
916,2722.32
1206,6555.55
457,95.34
1136,5481.41
144,36.67
213,43.76
262,51.32
181,48.71
298,43.07
123,29.54
21,28.02
278,41.74
493,144.93
158,29.81
60,25.23
401,59.35
154,45.43
1069,4538.72
120,44.58
618,530.98
55,22.88
10,27.11
112,38.26
463,89.74
1141,5563.9
249,42.5
20,24.15
474,113.65
565,331.45
412,61.21
598,446.34
445,79.34
537,252.45
293,43.52
462,96.53
856,2140.34
306,48.12
76,36.35
1085,4752.5
1500,12156.08
299,50.6
218,44.49
1058,4383.55
874,2313.17
254,48.79
214,37.71
165,43.05
337,46.55
292,41.51
242,44.64
72,27.47
181,43.07
429,72.59
761,1360.63
61,38.7
451,87.89
279,47.29
216,42.78
349,49.89
551,292.57
64,23.13
69,28.66
64,37.03
47,39.21
51,29.96
41,23.8
478,126.69
39,23.18
459,96.31
1439,10855.56
303,51.72
381,57.66
186,44.43
53,28.51
165,41.53
1182,6176.84
374,54.83
167,37.52
258,33.8
82,29.31
709,2323.15
20,25.13
15,28.28
67,25.89
92,30.09
19,13.31
126,30.09
299,45.22
1064,5943.91
270,38.37
657,723.96
111,32.91
10,27.61
213,41.03
834,1947.35
196,38.56
73,29.26
282,57.97
10,31.65
896,2521.11
65,28.54
259,49.4
50,28.79
474,115.19
932,2893.4
1287,7919.08
255,46.68
70,27.32
275,55.2
12,32.84
437,76.5
126,34.69
666,777.72
268,51.48
477,120.84
65,31.04
75,38.49
32,38.35
589,418.57
81,23.58
162,41.73
528,221.38
142,34.78
1184,6199.56
116,32.75
306,45.52
1042,4182.63
69,42.78
192,38.49
129,35.57
238,48.15
288,41.43
455,89.22
147,39.39
74,28.08
443,76.29
189,38.75
624,564.67
373,58.12
79,30.94
42,25.79
765,1384.57
62,17.07
73,26.84
432,66.93
470,104.75
153,33.27
1013,3815.95
995,3599.38
49,21.59
142,28.13
451,80.77
391,54.31
152,38.01
133,39.06
271,48.73
351,57.69
384,42.65
430,73.76
250,37.77
135,40.74
239,46.4
18,24.71
359,53.76
897,2533.39
24,25.24
379,60.28
201,40.22
890,2461.53
167,40.52
10,25.35
149,46.43
466,101.26
78,31.61
43,27.41
24,18.86
212,39.06
279,48.04
287,37.28
340,57.91
37,36.87
272,49.02
229,36.66
247,1208.9
507,175.55
242,36.61
780,1497.32
167,34.59
345,46.6
85,29.68
1216,6734.57
281,44.33
612,518.04
376,56.72
53,28.51
78,28.29
108,29.4
728,1134.54
803,1680.34
116,31.86
19,27.9
207,43.79
183,31.76
782,1513.25
641,649.48
135,35.81
342,52.32
297,44.87
57,36.38
738,1205.4
423,67.09
155,33.39
59,31.04
85,28.72
179,39.16
497,153.48
349,48.23
43,34.66
86,29.46
392,60.93
745,1249.75
191,39.97
20,29.48
28,25.34
815,1780.53
38,21.35
41,27.46
19,27.15
167,49.62
139,37.95
74,31.71
10,27.61
279,41.3
10,31.55
132,37.05
27,31.03
330,53.0
718,1073.36
301,54.23
291,43.45
741,1217.26
10,16.01
1108,5070.38
41,33.36
1164,5886.38
229,46.45
10,26.23
370,55.48
509,173.08
131,39.36
346,51.49
362,56.17
10,25.83
67,37.98
35,22.51
25,33.24
380,57.5
646,663.94
396,60.47
18,19.57
296,58.74
83,32.42
36,32.15
319,54.88
95,29.35
294,57.69
334,48.47
551,290.29
322,47.74
162,39.97
68,34.82
158,38.96
20,17.09
27,24.06
526,219.33
96,28.28
123,26.88
207,45.35
59,27.42
39,25.62
1244,7191.22
188,52.17
506,176.55
307,47.07
69,27.9
138,29.31
148,24.29
720,1073.98
324,49.63
125,27.66
330,47.26
837,1981.0
344,48.61
170,1273.72
53,33.26
64,30.36
703,973.35
119,34.94
114,44.99
76,40.73
172,31.98
264,38.75
257,57.72
23,24.53
716,1064.73
145,44.79
160,39.48
99,32.37
97,28.79
108,35.41
150,40.02
239,42.83
101,25.77
1061,4421.96
126,38.52
60,30.5
293,49.49
66,34.72
291,41.61
163,38.74
393,45.57
360,63.82
1198,6426.32
1066,4488.92
448,90.63
17,25.57
61,32.07
1500,12159.36
552,286.48
836,1961.94
80,26.67
527,219.61
115,39.75
101,26.49
50,22.98
182,35.61
396,45.46
213,36.66
155,43.18
176,37.61
230,44.81
695,926.3
90,31.49
60,27.17
367,54.9
593,433.0
86,30.54
118,34.72
244,47.85
298,45.59
146,30.01
563,317.92
444,90.57
80,29.18
59,20.3
278,54.46
391,59.57
519,213.5
144,46.91
187,30.96
11,24.52
643,644.36
310,51.34
175,28.91
104,39.31
10,25.03
660,726.18
64,25.68
16,30.81
185,49.03
86,774.46
1075,4626.47
57,26.27
52,25.78
287,43.66
69,33.0
157,38.46
838,1974.48
120,29.0
153,36.58
211,39.69
327,54.01
10,26.1
65,33.75
459,91.32
196,43.78
318,55.24
681,846.15
248,42.01
248,40.6
451,82.17
28,30.54
53,35.86
10,25.8
437,60.82
450,85.58
160,44.98
1067,4501.22
510,185.52
127,30.71
30,33.22
401,66.61
369,47.47
456,83.46
105,42.08
20,31.63
10,28.69
281,46.93
81,29.22
68,32.16
444,84.91
237,48.25
251,45.26
166,36.29
121,34.93
25,23.64
684,861.48
63,29.55
161,39.57
173,47.28
480,120.51
52,26.29
460,104.46
21,24.28
193,40.98
197,38.27
143,30.46
87,28.25
186,37.25
80,35.55
270,48.82
166,36.32
405,58.43
663,750.81
472,107.1
49,24.11
149,28.29
64,32.17
76,34.05
438,69.46
418,64.05
403,54.25
382,60.9
421,65.66
230,44.31
53,28.52
47,33.07
276,45.19
82,35.9
378,48.26
180,45.76
594,434.12
505,165.61
30,25.91
52,32.89
312,46.84
165,33.77
31,20.2
279,47.81
213,43.28
210,46.8
10,28.66
300,47.37
410,62.23
368,57.27
204,43.12
176,42.83
457,86.65
69,35.77
241,34.11
302,52.96
67,17.18
29,25.16
279,45.26
49,28.41
239,49.49
144,43.75
65,27.7
29,25.08
282,56.04
468,100.1
24,22.51
70,39.73
99,29.36
193,48.52
56,25.75
97,34.5
67,24.71
1500,12160.66
330,45.91
588,413.17
106,39.6
231,41.49
96,23.19
251,45.84
509,178.15
251,45.43
195,44.22
22,27.6
1107,5055.56
22,27.5
42,28.77
15,32.31
205,45.2
190,32.72
414,72.36
388,55.47
460,92.18
622,559.56
886,2425.04
10,22.17
55,25.05
737,1194.48
628,575.88
35,29.68
200,40.12
85,43.81
225,38.41
18,31.91
346,45.65
1170,5989.51
288,44.36
188,43.44
410,59.11
688,889.47
358,51.21
223,32.8
104,32.89
31,27.26
71,31.74
40,28.47
673,801.7
62,36.62
264,42.14
35,21.25
793,1607.21
990,3535.67
459,97.03
785,1548.33
648,681.24
213,50.84
128,35.19
252,51.34
50,27.47
568,341.61
50,27.53
147,31.65
42,22.66
593,429.77
194,33.34
200,38.24
119,28.9
788,1574.05
13,20.85
321,50.58
556,294.58
517,192.65
580,378.12
647,665.67
247,51.06
69,30.38
112,39.69
832,1935.19
970,3308.36
290,54.12
134,33.76
936,2935.27
11,31.76
189,40.55
213,35.29
174,43.67
129,28.78
10,28.58
635,613.82
329,55.1
340,47.77
1231,6963.42
444,80.52
56,29.35
1500,12157.66
396,59.83
92,29.57
246,37.6
467,105.31
390,63.28
141,32.0
10,32.76
1307,8292.13
525,213.14
163,32.32
109,34.98
590,419.91
821,1828.96
161,32.41
257,52.15
706,997.06
479,119.93
981,3432.13
22,25.32
54,27.57
10,23.1
996,3617.3
257,46.06
242,54.37
10,25.09
77,34.84
96,40.72
10,23.63
678,832.19
10,21.09
171,37.33
65,36.69
614,517.05
446,86.07
411,65.88
152,46.07
660,736.76
144,43.24
183,31.83
388,66.02
368,55.68
468,105.64
1177,6095.44
208,41.13
445,66.76
55,30.91
34,21.79
211,42.59
432,75.24
145,40.07
938,2953.92
206,48.76
757,1331.54
199,49.22
202,42.6
441,77.95
1228,6922.27
609,499.03
496,155.04
84,38.56
729,1146.58
1091,4842.65
356,54.56
32,27.13
21,32.97
317,57.79
84,37.15
559,317.59
378,53.73
27,29.66
111,31.78
10,24.57
660,734.02
187,30.91
1226,6892.09
375,52.37
541,265.49
50,36.6
222,46.52
422,50.72
142,35.32
430,65.06
23,32.31
404,58.81
151,39.34
547,278.25
299,47.37
1064,4472.29
26,26.71
565,335.32
50,23.86
285,45.83
37,30.51
129,27.92
53,20.22
1500,13492.22
838,1973.9
554,300.23
113,32.69
401,58.99
442,72.41
515,190.14
108,25.84
205,36.0
415,63.47
93,34.71
330,47.96
21,26.07
234,41.84
115,32.32
173,32.08
19,27.28
85,24.25
10,27.55
119,1385.13
610,509.98
137,37.54
34,17.63
704,992.31
771,1429.3
390,52.46
290,45.7
386,59.9
226,44.73
26,28.65
396,56.74
10,26.27
1500,12163.68
76,34.87
164,29.34
498,153.03
10,27.91
87,33.07
370,53.54
693,914.28
383,63.01
1091,4833.49
157,38.87
331,45.93
362,59.32
87,28.03
85,1148.21
44,30.23
376,55.99
38,33.26
894,2499.72
10,29.31
245,46.01
46,25.95
253,34.31
10,19.71
189,29.35
62,29.37
10,24.55
111,26.34
35,29.99
668,771.27
165,41.73
537,253.49
63,33.71
262,46.64
377,48.83
30,31.87
442,78.85
527,222.9
872,2287.86
516,192.56
1500,12158.48
57,31.17
123,28.2
197,39.16
155,49.86
388,44.11
27,34.34
493,141.9
534,250.45
389,57.85
246,55.1
89,30.96
305,47.21
293,46.21
101,25.4
101,41.58
62,30.11
124,35.13
345,50.1
143,43.15
161,33.37
127,35.84
294,44.94
232,41.26
74,35.42
28,41.42
246,53.31
401,56.08
257,42.55
298,46.71
67,34.44
221,36.97
194,43.78
83,24.13
159,42.33
47,27.71
71,26.17
94,37.29
1311,8365.01
53,27.58
510,182.04
43,15.61
797,1639.25
1055,4350.41
25,18.83
618,528.99
218,42.96
53,35.45
335,51.79
535,231.1
35,19.77
297,65.36
195,43.21
513,191.67
844,2035.64
185,36.94
282,35.22
44,27.38
784,1537.97
570,341.22
114,34.85
427,71.8
617,527.51
148,39.45
160,37.59
443,68.82
177,39.54
256,50.64
173,38.81
23,18.48
141,875.94
336,56.67
245,48.57
297,49.02
286,43.39
612,504.25
322,49.45
51,34.28
51,18.74
247,50.04
400,917.44
642,634.31
10,29.73
908,2626.85
387,58.73
