Transaction_ID,IP_Address,Transaction_Amount,Hours_Since_Login,Transaction_Status,Is_Fraud
TXN_10043,10.142.236.66,1502.5,29.86,Completed,0
TXN_10044,45.12.76.41,27.27,24.11,Completed,0
TXN_10045,172.17.221.237,468.7,12.02,Completed,0
TXN_10046,10.19.204.13,74.66,7.99,Completed,0
TXN_10047,10.132.7.36,39.37,10.44,Completed,0
TXN_10048,172.28.93.108,33.87,0.47,Completed,0
TXN_10049,10.76.246.23,157.84,15.11,Completed,0
TXN_10050,172.18.138.124,70.7,1.96,Completed,0
TXN_10051,192.168.0.229,784.03,9.95,Completed,0
TXN_10052,172.22.84.250,66.17,0.16,Completed,0
TXN_10053,172.21.158.99,153.37,2.62,Completed,0
TXN_10054,172.21.146.190,501.79,8.57,Completed,0
TXN_10055,172.21.49.36,82.61,25.48,Completed,0
TXN_10056,45.9.255.95,78.63,11.3,Completed,0
TXN_10057,10.60.86.200,213.77,17.69,Completed,0
TXN_10058,10.77.235.29,146.88,0.11,Completed,0
TXN_10059,45.218.34.18,51.23,2.27,Completed,0
TXN_10060,45.181.193.200,2861.73,10.38,Completed,0
TXN_10061,10.194.51.247,29.84,11.55,Completed,0
TXN_10062,10.160.203.69,89.13,9.38,Completed,0
TXN_10063,10.60.57.136,140.9,0.53,Completed,0
TXN_10064,172.27.244.162,806.83,3.96,Completed,0
TXN_10065,192.168.0.222,58.36,14.01,Blocked,1
TXN_10066,10.144.113.88,1.41,12.52,Completed,0
TXN_10067,172.23.176.186,153.52,2.94,Completed,0
TXN_10068,45.209.149.39,5261.58,23.28,Completed,0
TXN_10069,172.19.39.24,44.64,17.7,Completed,0
TXN_10070,172.26.84.194,51.98,4.86,Completed,0
TXN_10071,10.136.114.129,1102.75,16.4,Completed,0
TXN_10072,45.122.135.25,500.39,0.29,Completed,0
TXN_10073,45.4.199.88,51.61,2.31,Completed,0
TXN_10074,10.252.192.90,968.53,12.77,Completed,0
TXN_10075,10.7.1.215,1235.99,0.19,Completed,0
TXN_10076,172.31.120.240,103.3,0.71,Completed,0
TXN_10077,10.3.113.121,1265.04,7.6,Completed,0
TXN_10078,172.22.59.85,1420.79,28.77,Completed,0
TXN_10079,10.48.42.158,169.24,1.66,Completed,0
TXN_10080,172.16.175.10,158.08,2.43,Completed,0
TXN_10081,45.217.80.26,231.28,4.76,Completed,0
TXN_10082,172.21.144.249,145.88,6.85,Completed,0
TXN_10083,192.168.0.141,130.53,46.91,Completed,0
TXN_10084,45.175.185.245,122.16,24.33,Completed,0
TXN_10085,45.79.206.99,75.7,7.07,Completed,0
TXN_10086,192.168.0.213,1712.33,8.68,Chargeback,1
TXN_10087,10.31.132.138,12237.19,24.78,Completed,0
TXN_10088,45.72.121.143,217.83,14.53,Completed,0
TXN_10089,45.178.38.224,291.77,1.9,Completed,0
TXN_10090,10.104.23.94,103.67,1.92,Completed,0
TXN_10091,45.219.186.95,232.52,10.06,Completed,0
TXN_10092,45.7.228.172,396.76,23.46,Completed,0
TXN_10093,192.168.0.180,1475.57,0.59,Chargeback,1
TXN_10094,45.25.199.40,140.23,5.68,Completed,0
TXN_10095,45.91.246.141,160.96,3.45,Completed,0
TXN_10096,45.38.147.33,108.17,5.22,Completed,0
TXN_10097,172.16.11.25,130.53,9.96,Completed,0
TXN_10098,192.168.0.179,386.88,18.15,Blocked,1
TXN_10099,172.21.55.248,243.33,6.46,Completed,0
TXN_10100,10.101.57.39,658.81,8.72,Completed,0
TXN_10101,45.53.86.83,5217.38,2.83,Blocked,1
TXN_10102,45.250.66.182,989.6,10.82,Completed,0
TXN_10103,10.240.144.185,53.58,47.85,Completed,0
TXN_10104,172.24.144.201,1524.56,2.49,Completed,0
TXN_10105,10.196.31.117,385.5,0.41,Completed,0
TXN_10106,172.20.18.247,1472.81,0.03,Completed,0
TXN_10107,10.109.12.124,139.65,1.97,Completed,0
TXN_10108,172.28.176.39,906.2,5.25,Completed,0
TXN_10109,172.21.68.123,610.18,5.19,Completed,0
TXN_10110,172.16.238.120,17.46,0.93,Completed,0
TXN_10111,10.255.41.218,92.95,3.26,Completed,0
TXN_10112,45.154.238.56,5.31,1.7,Completed,0
TXN_10113,10.103.230.170,727.67,8.4,Completed,0
TXN_10114,10.64.187.195,297.56,2.01,Completed,0
TXN_10115,45.207.153.174,21.66,8.65,Completed,0
TXN_10116,10.255.65.158,149.57,6.54,Completed,0
TXN_10117,172.25.92.99,564.86,0.13,Completed,0
TXN_10118,172.21.232.129,487.65,4.04,Completed,0
TXN_10119,45.152.27.87,88.23,0.83,Completed,0
TXN_10120,172.18.202.224,23.96,1.2,Completed,0
TXN_10121,172.30.214.164,407.79,7.1,Completed,0
TXN_10122,172.22.5.91,28.13,38.5,Completed,0
TXN_10123,172.16.90.7,383.37,1.39,Completed,0
TXN_10124,45.163.153.52,375.75,1.68,Completed,0
TXN_10125,10.62.212.221,13.32,2.69,Completed,0
TXN_10126,45.111.128.244,670.85,7.27,Completed,0
TXN_10127,10.162.77.115,12.4,17.38,Completed,0
TXN_10128,45.89.90.137,357.7,6.16,Completed,0
TXN_10129,45.191.45.86,107.45,7.31,Completed,0
TXN_10130,10.151.62.46,804.59,0.29,Completed,0
TXN_10131,45.100.17.116,49.93,2.52,Completed,0
TXN_10132,172.16.250.91,46.48,2.65,Completed,0
TXN_10133,10.30.156.201,415.35,16.19,Completed,0
TXN_10134,45.160.200.3,2464.76,14.24,Completed,0
TXN_10135,172.24.195.178,93.17,11.59,Completed,0
TXN_10136,172.20.223.190,232.12,16.33,Completed,0
TXN_10137,172.30.118.250,84.24,13.78,Completed,0
TXN_10138,45.79.207.50,30.97,10.71,Completed,0
TXN_10139,10.202.102.220,1742.17,50.36,Completed,0
TXN_10140,172.22.88.233,55.46,0.8,Completed,0
TXN_10141,172.26.79.223,300.56,0.82,Completed,0
TXN_10142,172.27.201.172,315.59,2.67,Completed,0
TXN_10143,45.177.238.19,5764.45,4.58,Completed,0
TXN_10144,45.45.0.49,67.85,9.05,Completed,0
TXN_10145,45.204.178.93,196.55,11.33,Completed,0
TXN_10146,45.169.225.99,130.12,7.42,Completed,0
TXN_10147,10.93.150.55,190.71,5.33,Completed,0
TXN_10148,172.23.125.184,48.41,22.83,Completed,0
TXN_10149,10.219.138.186,56.07,8.14,Completed,0
TXN_10150,172.21.249.82,1312.25,18.08,Completed,0
TXN_10151,172.27.167.69,249.31,14.76,Completed,0
TXN_10152,10.240.148.214,164.69,8.39,Completed,0
TXN_10153,45.7.247.163,348.49,7.82,Completed,0
TXN_10154,10.122.193.211,134.44,3.99,Completed,0
TXN_10155,45.60.236.199,341.93,2.39,Completed,0
TXN_10156,172.22.201.251,84.15,6.87,Completed,0
TXN_10157,172.16.46.51,49.28,3.89,Completed,0
TXN_10158,172.26.191.181,81.1,4.9,Completed,0
TXN_10159,45.209.148.190,188.54,12.19,Completed,0
TXN_10160,172.25.16.232,211.85,18.45,Completed,0
TXN_10161,172.21.93.43,220.65,10.53,Completed,0
TXN_10162,172.25.25.148,1660.59,18.22,Completed,0
TXN_10163,45.150.177.234,84.02,4.2,Completed,0
TXN_10164,10.115.235.168,144.19,11.46,Completed,0
TXN_10165,172.24.132.166,99.37,5.75,Completed,0
TXN_10166,10.231.241.218,171.92,5.01,Completed,0
TXN_10167,10.196.238.232,2297.39,0.66,Chargeback,1
TXN_10168,172.19.24.191,451.13,6.39,Completed,0
TXN_10169,45.51.136.95,139.69,4.5,Completed,0
TXN_10170,10.52.68.30,35.26,0.04,Completed,0
TXN_10171,172.27.83.75,2182.38,1.46,Completed,0
TXN_10172,172.29.133.147,10.07,0.91,Completed,0
TXN_10173,172.16.24.14,866.43,8.93,Completed,0
TXN_10174,45.212.165.76,1797.6,22.12,Completed,0
TXN_10175,172.31.102.90,226.04,7.3,Completed,0
TXN_10176,45.145.181.159,63.9,2.52,Completed,0
TXN_10177,172.24.19.34,147.38,1.91,Completed,0
TXN_10178,10.82.203.176,133.44,0.04,Completed,0
TXN_10179,172.22.148.201,160.35,24.63,Completed,0
TXN_10180,45.11.102.135,481.15,14.43,Completed,0
TXN_10181,192.168.0.204,359.34,8.85,Under_Review,1
TXN_10182,10.165.13.20,20.67,13.23,Completed,0
TXN_10183,172.29.163.33,1143.66,35.81,Completed,0
TXN_10184,10.154.92.226,267.43,20.01,Completed,0
TXN_10185,45.236.79.40,27.86,13.76,Completed,0
TXN_10186,45.57.248.102,67.35,8.96,Completed,0
TXN_10187,172.31.231.236,22.43,0.22,Completed,0
TXN_10188,172.29.243.28,2081.88,1.19,Completed,0
TXN_10189,172.25.10.187,64.61,2.78,Completed,0
TXN_10190,172.25.0.253,55.18,1.59,Completed,0
TXN_10191,172.16.76.201,52.14,3.99,Completed,0
TXN_10192,10.45.226.186,674.7,6.67,Completed,0
TXN_10193,10.200.235.159,178.09,7.23,Completed,0
TXN_10194,10.56.154.196,93.09,2.86,Completed,0
TXN_10195,45.51.129.95,35.8,0.45,Completed,0
TXN_10196,45.216.29.119,275.13,5.69,Completed,0
TXN_10197,172.22.34.54,3.36,22.09,Completed,0
TXN_10198,45.28.22.45,84.99,9.17,Completed,0
TXN_10199,172.22.7.185,592.81,7.11,Completed,0
TXN_10200,172.16.135.30,308.64,5.0,Completed,0
TXN_10201,10.91.86.91,494.95,1.73,Completed,0
TXN_10202,45.60.42.205,311.61,6.36,Completed,0
TXN_10203,172.30.73.135,3.01,21.52,Completed,0
TXN_10204,45.166.20.112,355.62,1.91,Completed,0
TXN_10205,10.239.200.148,456.27,5.63,Completed,0
TXN_10206,172.22.71.116,74.9,0.3,Completed,0
TXN_10207,172.18.164.157,89.97,3.43,Completed,0
TXN_10208,172.27.31.220,215.48,6.57,Completed,0
TXN_10209,45.12.236.94,601.7,11.62,Completed,0
TXN_10210,45.215.107.145,52.97,4.26,Completed,0
TXN_10211,172.27.7.247,267.37,6.14,Completed,0
TXN_10212,172.16.152.139,1021.82,8.34,Completed,0
TXN_10213,45.25.44.17,96.42,6.25,Completed,0
TXN_10214,45.239.6.141,27.62,2.02,Completed,0
TXN_10215,45.47.195.235,20.76,4.91,Completed,0
TXN_10216,172.20.152.87,207.03,12.14,Completed,0
TXN_10217,10.157.219.150,5.61,3.81,Completed,0
TXN_10218,45.173.223.215,100.79,1.33,Completed,0
TXN_10219,10.213.176.82,1633.98,6.75,Completed,0
TXN_10220,10.185.1.25,76.68,10.22,Completed,0
TXN_10221,172.19.48.166,59.72,31.39,Completed,0
TXN_10222,10.178.28.200,495.68,1.59,Completed,0
TXN_10223,172.26.58.200,1842.24,10.77,Completed,0
TXN_10224,172.31.106.104,55.04,12.89,Completed,0
TXN_10225,45.193.65.34,46.29,4.41,Completed,0
TXN_10226,45.96.82.68,208.28,12.18,Completed,0
TXN_10227,45.94.34.230,510.87,1.18,Completed,0
TXN_10228,45.242.196.8,100.06,15.19,Completed,0
TXN_10229,45.248.95.163,370.15,0.9,Completed,0
TXN_10230,45.68.116.6,2666.76,18.59,Completed,0
TXN_10231,10.76.197.178,791.4,1.11,Completed,0
TXN_10232,172.31.30.138,753.03,9.46,Completed,0
TXN_10233,172.18.144.195,114.3,4.84,Completed,0
TXN_10234,10.223.98.160,13.08,33.26,Completed,0
TXN_10235,45.239.61.157,345.53,4.79,Completed,0
TXN_10236,172.31.107.140,50.72,17.7,Completed,0
TXN_10237,172.30.250.80,30.79,2.35,Completed,0
TXN_10238,45.15.27.59,267.55,25.51,Completed,0
TXN_10239,10.54.72.207,13.05,11.34,Completed,0
TXN_10240,45.90.16.55,107.65,11.53,Completed,0
TXN_10241,10.30.70.57,99.18,3.62,Completed,0
TXN_10242,10.130.134.95,722.14,1.86,Completed,0
TXN_10243,172.22.172.20,438.53,2.77,Completed,0
TXN_10244,10.145.55.183,1127.72,29.06,Completed,0
TXN_10245,45.25.244.226,18.64,13.61,Completed,0
TXN_10246,45.115.111.186,505.99,1.74,Completed,0
TXN_10247,172.28.141.77,605.26,0.28,Completed,0
TXN_10248,45.43.157.78,31.16,17.14,Completed,0
TXN_10249,10.228.123.225,71.26,8.05,Completed,0
TXN_10250,45.79.131.57,862.97,17.04,Completed,0
TXN_10251,45.62.74.43,1.49,38.38,Completed,0
TXN_10252,10.106.123.187,163.3,3.19,Completed,0
TXN_10253,172.30.125.182,59.86,5.61,Completed,0
TXN_10254,172.21.128.207,64.75,2.33,Completed,0
TXN_10255,172.31.108.177,1259.89,1.28,Completed,0
TXN_10256,10.178.130.67,1921.27,4.35,Completed,0
TXN_10257,45.219.13.100,683.23,10.51,Completed,0
TXN_10258,45.170.138.167,53.16,15.8,Under_Review,1
TXN_10259,45.231.176.62,53.1,1.7,Completed,0
TXN_10260,192.168.0.79,119.31,16.01,Under_Review,1
TXN_10261,10.38.182.12,755.92,9.79,Completed,0
TXN_10262,10.1.96.208,23120.57,0.57,Completed,0
TXN_10263,172.22.134.52,305.16,0.4,Completed,0
TXN_10264,45.164.253.1,55.91,21.93,Completed,0
TXN_10265,172.24.159.9,685.54,0.58,Completed,0
TXN_10266,45.20.18.142,270.27,16.56,Completed,0
TXN_10267,10.137.237.170,1060.91,9.06,Completed,0
TXN_10268,172.25.164.194,181.17,0.03,Completed,0
TXN_10269,45.118.29.87,932.12,11.23,Completed,0
TXN_10270,172.24.146.24,105.9,0.22,Completed,0
TXN_10271,45.197.2.245,748.85,6.86,Completed,0
TXN_10272,10.112.146.24,377.97,14.68,Completed,0
TXN_10273,45.7.224.71,1379.92,1.03,Completed,0
TXN_10274,172.19.69.209,439.25,9.86,Completed,0
TXN_10275,45.221.86.68,131.85,33.96,Completed,0
TXN_10276,10.219.204.24,228.25,14.29,Completed,0
TXN_10277,45.13.126.206,198.64,4.54,Completed,0
TXN_10278,10.81.238.245,110.5,5.47,Completed,0
TXN_10279,10.122.243.5,16.81,17.14,Completed,0
TXN_10280,45.231.216.75,95.12,3.32,Completed,0
TXN_10281,172.23.167.19,5460.19,15.65,Completed,0
TXN_10282,45.223.65.133,322.27,12.88,Completed,0
TXN_10283,45.10.52.52,875.41,0.8,Completed,0
TXN_10284,10.0.149.177,504.67,6.16,Completed,0
TXN_10285,45.143.111.7,24.11,18.79,Completed,0
TXN_10286,10.89.97.200,319.7,9.42,Completed,0
TXN_10287,45.132.232.208,1458.8,12.72,Completed,0
TXN_10288,172.19.177.116,409.63,13.94,Completed,0
TXN_10289,172.20.161.27,3378.35,1.93,Completed,0
TXN_10290,172.27.18.126,213.06,10.1,Completed,0
TXN_10291,10.162.30.64,160.08,7.58,Completed,0
TXN_10292,10.229.199.40,32.66,1.51,Completed,0
TXN_10293,45.104.150.9,988.49,4.79,Completed,0
TXN_10294,45.204.38.182,390.66,6.35,Completed,0
TXN_10295,172.20.123.135,289.35,6.03,Completed,0
TXN_10296,172.20.175.109,414.03,15.94,Completed,0
TXN_10297,172.30.92.25,278.84,5.13,Completed,0
TXN_10298,192.168.0.175,1220.47,9.16,Chargeback,1
TXN_10299,172.19.84.89,15736.54,1.51,Completed,0
TXN_10300,172.31.138.78,1603.45,0.89,Completed,0
TXN_10301,10.203.58.75,191.57,0.37,Completed,0
TXN_10302,10.113.170.136,20.98,27.97,Completed,0
TXN_10303,172.30.207.65,16.29,43.02,Completed,0
TXN_10304,45.105.118.15,89.59,13.3,Completed,0
TXN_10305,172.20.9.217,1045.31,0.66,Completed,0
TXN_10306,45.56.30.136,228.86,1.88,Completed,0
TXN_10307,45.228.190.46,1.97,1.83,Completed,0
TXN_10308,45.139.101.243,128.58,14.72,Completed,0
TXN_10309,45.47.164.140,256.57,6.88,Completed,0
TXN_10310,10.229.140.20,1054.93,6.21,Completed,0
TXN_10311,45.229.161.78,354.61,13.83,Completed,0
TXN_10312,172.21.137.255,188.11,6.92,Completed,0
TXN_10313,45.111.248.43,28.88,6.61,Completed,0
TXN_10314,45.38.3.68,48.19,1.53,Completed,0
TXN_10315,45.19.72.11,690.85,2.55,Completed,0
TXN_10316,10.37.190.180,661.97,5.8,Completed,0
TXN_10317,10.27.93.8,201.15,2.41,Completed,0
TXN_10318,10.164.210.131,1113.16,8.05,Completed,0
TXN_10319,45.232.15.66,2627.77,10.91,Completed,0
TXN_10320,45.183.108.121,296.02,6.09,Completed,0
TXN_10321,172.25.136.44,34.52,1.72,Completed,0
TXN_10322,45.211.209.235,354.41,9.19,Completed,0
TXN_10323,10.158.71.110,1166.42,12.13,Completed,0
TXN_10324,45.42.15.97,630.97,2.27,Completed,0
TXN_10325,10.238.215.211,472.27,4.58,Completed,0
TXN_10326,10.118.200.19,7.59,51.13,Completed,0
TXN_10327,172.22.90.1,287.2,2.28,Completed,0
TXN_10328,10.104.192.235,519.27,13.68,Completed,0
TXN_10329,10.23.78.69,84.66,9.69,Completed,0
TXN_10330,192.168.0.239,1146.77,0.44,Blocked,1
TXN_10331,10.108.163.74,634.82,3.12,Completed,0
TXN_10332,45.62.188.48,399.64,1.48,Completed,0
TXN_10333,172.31.180.253,623.04,7.57,Completed,0
TXN_10334,10.130.14.65,261.67,2.68,Completed,0
TXN_10335,10.117.95.208,651.39,5.0,Completed,0
TXN_10336,10.206.240.113,20.8,12.39,Completed,0
TXN_10337,172.22.202.83,287.03,11.06,Completed,0
TXN_10338,45.8.250.7,7196.71,13.61,Completed,0
TXN_10339,10.222.36.104,191.09,9.62,Completed,0
TXN_10340,10.182.87.130,2640.43,8.48,Completed,0
TXN_10341,10.198.120.211,9799.06,27.78,Completed,0
TXN_10342,172.28.45.131,97.02,0.28,Completed,0
TXN_10343,10.41.125.75,9284.31,4.89,Completed,0
TXN_10344,172.31.224.42,9.13,0.59,Completed,0
TXN_10345,45.149.208.11,69.25,5.11,Completed,0
TXN_10346,45.137.168.230,788.83,0.41,Completed,0
TXN_10347,172.26.114.206,144.26,17.86,Completed,0
TXN_10348,172.18.243.242,1293.26,13.88,Completed,0
TXN_10349,45.121.129.121,165.6,7.21,Completed,0
TXN_10350,192.168.0.59,67.88,3.82,Blocked,1
TXN_10351,10.188.115.105,105.23,2.31,Completed,0
TXN_10352,45.200.126.19,1063.91,0.15,Under_Review,1
TXN_10353,10.151.191.15,74.53,3.25,Completed,0
TXN_10354,192.168.0.199,163.0,2.54,Blocked,1
TXN_10355,45.255.74.245,4265.26,35.15,Completed,0
TXN_10356,10.39.196.167,585.38,2.74,Completed,0
TXN_10357,172.28.109.213,783.25,12.09,Completed,0
TXN_10358,10.73.18.77,132.38,9.01,Completed,0
TXN_10359,10.32.34.196,756.73,3.56,Completed,0
TXN_10360,45.111.86.91,4733.13,11.01,Chargeback,1
TXN_10361,10.165.153.176,1635.69,3.59,Completed,0
TXN_10362,10.148.236.14,718.57,0.26,Completed,0
TXN_10363,45.191.42.32,322.92,8.22,Completed,0
TXN_10364,10.66.45.16,4721.27,9.58,Completed,0
TXN_10365,172.24.210.140,2278.04,2.96,Completed,0
TXN_10366,192.168.0.30,67.93,8.75,Blocked,1
TXN_10367,172.21.138.41,691.9,7.06,Completed,0
TXN_10368,172.19.102.63,129.51,22.97,Completed,0
TXN_10369,172.23.100.11,186.59,6.8,Completed,0
TXN_10370,10.159.154.138,416.76,4.73,Completed,0
TXN_10371,172.28.90.249,795.23,20.69,Completed,0
TXN_10372,45.230.4.245,516.08,6.55,Completed,0
TXN_10373,172.23.247.229,696.99,19.85,Completed,0
TXN_10374,172.29.169.51,174.96,2.08,Completed,0
TXN_10375,45.45.87.19,786.25,1.16,Completed,0
TXN_10376,45.146.168.117,43.96,16.79,Completed,0
TXN_10377,10.80.253.87,416.8,8.41,Completed,0
TXN_10378,172.21.218.201,84.52,1.14,Completed,0
TXN_10379,45.32.7.64,114.14,24.1,Completed,0
TXN_10380,10.16.185.219,359.59,6.79,Completed,0
TXN_10381,172.23.48.252,1488.3,6.83,Completed,0
TXN_10382,45.39.120.201,1328.07,5.24,Completed,0
TXN_10383,172.24.127.78,50.41,17.12,Completed,0
TXN_10384,172.18.116.240,121.52,16.01,Completed,0
TXN_10385,172.20.27.56,1722.97,10.38,Completed,0
TXN_10386,10.34.81.64,1090.42,41.04,Completed,0
TXN_10387,10.59.77.74,1241.1,4.54,Completed,0
TXN_10388,45.27.199.207,334.4,5.13,Completed,0
TXN_10389,45.64.218.209,1111.92,20.04,Completed,0
TXN_10390,45.152.154.128,170.56,35.24,Completed,0
TXN_10391,10.68.46.238,87.51,4.52,Completed,0
TXN_10392,10.229.38.163,412.3,6.19,Completed,0
TXN_10393,10.104.35.167,442.79,13.97,Completed,0
TXN_10394,172.18.211.38,82.06,6.46,Completed,0
TXN_10395,10.121.155.146,370.48,12.51,Completed,0
TXN_10396,10.19.213.47,3988.91,12.63,Completed,0
TXN_10397,10.153.255.111,566.57,4.14,Completed,0
TXN_10398,10.26.105.41,297.85,1.0,Completed,0
TXN_10399,172.19.158.71,1024.71,9.81,Completed,0
TXN_10400,10.43.154.120,176.53,1.82,Completed,0
TXN_10401,45.9.121.244,1574.99,7.72,Completed,0
TXN_10402,10.36.159.253,89.1,38.14,Completed,0
TXN_10403,10.191.160.87,77.48,7.35,Completed,0
TXN_10404,172.25.224.39,182.96,1.95,Completed,0
TXN_10405,172.29.234.206,35.81,11.05,Completed,0
TXN_10406,45.137.151.217,628.45,13.42,Completed,0
TXN_10407,172.22.152.9,740.04,9.25,Completed,0
TXN_10408,45.11.198.158,68.16,13.2,Completed,0
TXN_10409,45.208.205.144,674.69,10.33,Completed,0
TXN_10410,45.38.185.117,13.28,2.37,Completed,0
TXN_10411,172.24.255.108,1695.37,6.79,Completed,0
TXN_10412,10.132.227.48,105.63,19.2,Completed,0
TXN_10413,10.119.52.142,1231.47,13.69,Completed,0
TXN_10414,172.28.209.86,284.83,12.95,Completed,0
TXN_10415,45.131.180.111,47.31,15.27,Completed,0
TXN_10416,192.168.0.92,1081.8,16.11,Blocked,1
TXN_10417,45.17.3.195,54.06,10.83,Completed,0
TXN_10418,10.231.30.130,182.99,0.96,Completed,0
TXN_10419,10.27.141.215,432.14,1.05,Completed,0
TXN_10420,10.188.191.226,320.51,1.0,Completed,0
TXN_10421,45.150.30.249,925.99,21.01,Completed,0
TXN_10422,10.4.181.154,236.25,10.99,Completed,0
TXN_10423,172.16.187.210,1280.61,4.05,Completed,0
TXN_10424,45.254.23.111,453.17,12.52,Completed,0
TXN_10425,45.233.54.34,1072.6,17.3,Completed,0
TXN_10426,45.8.236.231,53.56,2.62,Completed,0
TXN_10427,45.36.0.71,138.57,11.06,Completed,0
TXN_10428,10.99.1.20,390.91,27.08,Completed,0
TXN_10429,10.254.183.60,4542.44,26.02,Completed,0
TXN_10430,172.22.200.154,62.7,10.93,Completed,0
TXN_10431,172.17.5.20,14587.74,6.9,Completed,0
TXN_10432,192.168.0.223,467.89,1.85,Blocked,1
TXN_10433,45.202.126.6,20087.78,11.38,Completed,0
TXN_10434,172.24.204.190,536.54,9.2,Completed,0
TXN_10435,45.55.202.25,2161.39,1.33,Chargeback,1
TXN_10436,10.250.118.79,375.05,9.06,Completed,0
TXN_10437,45.199.218.66,293.59,7.83,Completed,0
TXN_10438,45.80.163.107,74.79,3.62,Completed,0
TXN_10439,172.27.8.229,144.56,1.67,Completed,0
TXN_10440,45.162.30.162,280.67,10.62,Completed,0
TXN_10441,45.118.82.135,77.12,7.21,Completed,0
TXN_10442,172.25.253.230,110.28,10.12,Completed,0
TXN_10443,10.231.107.96,207.11,2.47,Completed,0
TXN_10444,10.66.158.148,173.89,24.03,Completed,0
TXN_10445,45.108.218.246,13.22,14.3,Completed,0
TXN_10446,45.90.21.1,335.96,2.38,Completed,0
TXN_10447,172.26.180.50,188.53,3.99,Completed,0
TXN_10448,192.168.0.11,21.94,4.1,Blocked,1
TXN_10449,10.6.122.114,29.65,7.43,Completed,0
TXN_10450,10.150.7.249,211.16,12.54,Completed,0
TXN_10451,172.19.66.211,107.62,12.63,Completed,0
TXN_10452,45.152.244.50,2775.98,1.71,Completed,0
TXN_10453,10.213.249.58,112.53,3.89,Completed,0
TXN_10454,10.127.128.254,5694.9,11.26,Completed,0
TXN_10455,45.233.126.206,629.53,6.07,Completed,0
TXN_10456,172.26.145.64,123.53,2.33,Completed,0
TXN_10457,45.102.29.98,42.53,5.07,Completed,0
TXN_10458,172.23.254.94,20.6,15.72,Completed,0
TXN_10459,172.18.112.208,157.66,11.87,Completed,0
TXN_10460,10.37.164.208,660.09,2.58,Completed,0
TXN_10461,10.135.41.235,75.21,7.23,Completed,0
TXN_10462,10.198.19.173,66.62,2.5,Completed,0
TXN_10463,45.237.18.84,497.32,1.8,Completed,0
TXN_10464,45.19.39.11,33.25,0.54,Completed,0
TXN_10465,10.22.201.19,73.49,9.69,Completed,0
TXN_10466,172.26.104.235,2144.72,29.63,Completed,0
TXN_10467,10.169.237.39,146.02,3.5,Completed,0
TXN_10468,45.21.83.103,123.33,7.54,Completed,0
TXN_10469,10.247.187.204,538.01,1.4,Completed,0
TXN_10470,45.135.88.123,586.5,27.99,Completed,0
TXN_10471,10.195.30.192,897.39,9.21,Completed,0
TXN_10472,10.69.193.200,292.32,5.51,Completed,0
TXN_10473,45.193.198.144,823.32,4.42,Completed,0
TXN_10474,45.145.253.196,145.24,1.4,Completed,0
